,date,time,c-ip,cs-username,s-ip,s-port,cs-method,cs-uri-stem,sc-status,sc-win32-status,sc-substatus,time-taken,x-session,x-fullpath
0,2021-01-01,10:30:31,172.31.74.122,-,172.30.9.85,21,ControlChannelOpened,-,-,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
1,2021-01-01,10:30:31,172.31.74.122,-,172.30.9.85,21,SYST,-,215,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
2,2021-01-01,10:30:31,172.31.74.122,-,172.30.9.85,21,USER,host0001,331,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
3,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,PASS,***,230,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,/
4,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
5,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,CWD,/ftp6001/Send/ServerLink,250,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,/ftp6001/Send/ServerLink
6,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
7,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,51094,DataChannelOpened,-,-,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
8,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,51094,DataChannelClosed,-,-,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
9,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,STOR,SS-KZEND-KOZU.TXT,226,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,/ftp6001/Send/ServerLink/SS-KZEND-KOZU.TXT
10,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,QUIT,-,221,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
11,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,ControlChannelClosed,-,-,0,0,0,0595f56c-280e-4080-af4e-d1b237774105,-
12,2021-01-01,10:30:31,172.31.74.122,-,172.30.9.85,21,ControlChannelOpened,-,-,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,-
13,2021-01-01,10:30:31,172.31.74.122,-,172.30.9.85,21,SYST,-,215,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,-
14,2021-01-01,10:30:31,172.31.74.122,-,172.30.9.85,21,USER,host0001,331,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,-
15,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,PASS,***,230,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,/
16,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,-
17,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,CWD,/ftp6001/Send/ServerLink,250,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,/ftp6001/Send/ServerLink
18,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,-
19,2021-01-01,10:30:31,172.31.74.122,RGSV920\HOST0001,172.30.9.85,51095,DataChannelOpened,-,-,0,0,0,962c2ba3-fa38-47c4-8dd0-cb8c557de982,-
