weekday,c-ip,count,timestamp_ts
0,-,81,231.0
0,10.1.16.100,32,40.0
0,10.161.32.87,92120,116409.0
0,10.161.38.190,1044,3036.0
0,10.161.46.152,902,1780.0
0,10.161.54.255,4030,7540.0
0,10.168.56.49,22062,28030.0
0,10.169.60.142,6,17.0
0,172.28.69.82,2,2.0
0,172.28.83.113,6,8.0
0,172.28.85.145,3,33.0
0,172.28.85.21,3,6.0
0,172.28.92.63,3,7.0
0,172.29.80.7,24,24.0
0,172.30.4.122,2,2.0
0,172.30.5.189,1,50.0
0,172.30.5.36,1,24.0
0,172.30.5.67,3,393.0
0,172.31.124.1,1164,3115.0
0,172.31.124.31,4,31.0
0,172.31.69.1,32,37.0
0,172.31.74.120,1578,1609.0
0,172.31.74.28,2,26.0
0,172.31.80.8,92,132.0
0,172.31.82.35,4,6.0
1,-,151,431.0
1,10.1.16.100,32,44.0
1,10.161.32.87,90837,116089.0
1,10.161.38.190,1475,3947.0
1,10.161.46.152,1496,4109.0
1,10.161.54.255,5373,10381.0
1,10.168.56.49,22621,28670.0
1,10.169.60.142,9,33.0
1,172.26.245.129,4,519.0
1,172.28.69.82,3,3.0
1,172.28.83.113,7,7.0
1,172.28.85.145,3,33.0
1,172.28.85.21,3,5.0
1,172.28.92.63,3,4.0
1,172.29.80.7,29,29.0
1,172.30.4.122,14,15.0
1,172.30.5.189,2,208.0
1,172.30.5.36,2,74.0
1,172.30.5.40,3,66.0
1,172.30.5.67,7,1054.0
1,172.30.6.96,2,8331.0
1,172.31.124.1,2441,8108.0
1,172.31.124.31,13,116.0
1,172.31.69.1,40,46.0
1,172.31.74.120,2395,2431.0
1,172.31.74.28,5,44.0
1,172.31.80.8,198,379.0
1,172.31.82.35,6,7.0
2,-,207,544.0
2,10.1.16.100,32,40.0
2,10.161.32.87,88950,114281.0
2,10.161.38.190,1927,5006.0
2,10.161.46.152,1971,5689.0
2,10.161.54.255,5999,11816.0
2,10.168.56.49,23196,29741.0
2,10.169.60.142,12,43.0
2,172.26.241.170,2,301.0
2,172.26.241.179,5,1591.0
2,172.26.244.11,5,611.0
2,172.26.245.129,4,530.0
2,172.28.69.82,4,5.0
2,172.28.83.113,10,12.0
2,172.28.85.145,3,33.0
2,172.28.85.21,3,8.0
2,172.28.92.63,5,8.0
2,172.29.80.7,36,37.0
2,172.30.4.122,20,23.0
2,172.30.5.189,1,51.0
2,172.30.5.36,6,528.0
2,172.30.5.67,2,264.0
2,172.30.6.96,4,17187.0
2,172.31.124.1,3432,11533.0
2,172.31.124.31,9,68.0
2,172.31.69.1,48,54.0
2,172.31.74.120,3296,3345.0
2,172.31.74.28,7,63.0
2,172.31.80.8,300,603.0
2,172.31.82.35,7,8.0
3,-,223,580.0
3,10.1.16.100,32,40.0
3,10.161.32.87,89248,113787.0
3,10.161.38.190,1804,5403.0
3,10.161.46.152,2206,6982.0
3,10.161.54.255,6178,11896.0
3,10.168.56.49,21225,27836.0
3,10.169.60.142,12,40.0
3,172.26.241.179,1,1061.0
3,172.26.244.11,6,451.0
3,172.28.69.82,4,4.0
3,172.28.83.113,9,11.0
3,172.28.85.145,8,65.0
3,172.28.85.21,8,11.0
3,172.28.92.63,4,7.0
3,172.29.80.7,37,37.0
3,172.30.4.122,24,26.0
3,172.30.5.171,2,282.0
3,172.30.5.174,1,131.0
3,172.30.5.189,1,53.0
3,172.30.5.36,12,496.0
3,172.30.5.67,4,601.0
3,172.30.6.137,1,8879.0
3,172.31.124.1,3811,13753.0
3,172.31.124.31,12,59.0
3,172.31.69.1,48,51.0
3,172.31.74.120,3455,3526.0
3,172.31.74.28,8,60.0
3,172.31.80.8,320,783.0
3,172.31.82.35,8,8.0
4,-,212,595.0
4,10.1.16.100,32,36.0
4,10.161.32.87,89031,114344.0
4,10.161.38.190,2273,7032.0
4,10.161.46.152,2076,6337.0
4,10.161.54.255,6010,11877.0
4,10.168.56.49,21274,27587.0
4,10.169.60.142,12,38.0
4,172.26.244.11,1,136.0
4,172.28.69.82,4,4.0
4,172.28.83.113,9,10.0
4,172.28.85.145,4,45.0
4,172.28.85.21,4,6.0
4,172.28.92.63,4,7.0
4,172.29.80.7,36,36.0
4,172.30.4.122,24,25.0
4,172.30.5.129,5,406.0
4,172.30.5.134,2,7083.0
4,172.30.5.171,2,156.0
4,172.30.5.189,3,154.0
4,172.30.5.214,3,170.0
4,172.30.5.36,7,215.0
4,172.30.5.40,1,135.0
4,172.30.5.67,3,325.0
4,172.31.124.1,3784,13293.0
4,172.31.124.31,12,57.0
4,172.31.69.1,48,54.0
4,172.31.74.120,3371,3425.0
4,172.31.74.28,8,39.0
4,172.31.80.8,308,644.0
4,172.31.82.35,8,10.0
5,-,86,259.0
5,10.1.16.100,32,34.0
5,10.161.32.87,93651,118833.0
5,10.161.38.190,904,3818.0
5,10.161.46.152,1126,4379.0
5,10.161.54.255,3291,6367.0
5,10.168.56.49,22432,27519.0
5,172.28.85.145,4,44.0
5,172.28.85.21,4,6.0
5,172.28.92.63,3,5.0
5,172.29.80.7,12,12.0
5,172.30.4.122,23,25.0
5,172.30.5.67,3,335.0
5,172.30.6.96,1,27723.0
5,172.31.124.1,1920,9312.0
5,172.31.124.31,2,2.0
5,172.31.69.1,16,17.0
5,172.31.74.120,1002,1029.0
5,172.31.74.28,5,7.0
5,172.31.80.8,256,535.0
5,172.31.82.35,1,1.0
6,-,9,13.0
6,10.1.16.100,32,34.0
6,10.161.32.87,42280,52900.0
6,10.161.38.190,96,297.0
6,10.161.46.152,493,1210.0
6,10.161.54.255,67,144.0
6,10.168.56.49,10782,13622.0
6,172.28.85.145,3,33.0
6,172.28.85.21,3,5.0
6,172.30.4.122,15,17.0
6,172.31.124.1,444,2456.0
6,172.31.69.1,16,18.0
6,172.31.74.120,148,148.0
6,172.31.80.8,90,137.0
