weekday,hour,c-ip,count
Fri,00,10.161.38.190,347
Fri,00,10.161.54.255,96
Fri,00,172.26.244.11,1
Fri,00,172.31.124.1,419
Fri,00,172.31.69.1,16
Fri,00,172.31.74.120,40
Fri,01,10.161.38.190,24
Fri,01,10.161.54.255,96
Fri,01,172.31.124.1,207
Fri,01,172.31.80.8,10
Fri,02,10.161.32.87,4000
Fri,02,10.161.38.190,72
Fri,02,10.161.54.255,100
Fri,02,10.168.56.49,996
Fri,02,172.31.124.1,776
Fri,02,172.31.80.8,112
Fri,03,10.161.32.87,4762
Fri,03,10.161.54.255,107
Fri,03,10.168.56.49,1200
Fri,03,172.31.124.1,22
Fri,03,172.31.80.8,2
Fri,04,-,60
Fri,04,10.161.32.87,4773
Fri,04,10.161.38.190,40
Fri,04,10.161.46.152,686
Fri,04,10.161.54.255,133
Fri,04,10.168.56.49,1200
Fri,04,172.31.74.28,4
Fri,05,10.161.32.87,4783
Fri,05,10.161.38.190,12
Fri,05,10.161.54.255,125
Fri,05,10.168.56.49,1200
Fri,05,10.169.60.142,12
Fri,05,172.30.4.122,16
Fri,05,172.31.124.1,4
Fri,05,172.31.74.120,112
Fri,06,10.161.32.87,4771
Fri,06,10.161.46.152,12
Fri,06,10.161.54.255,125
Fri,06,10.168.56.49,1240
Fri,06,172.28.85.21,4
Fri,06,172.30.4.122,4
Fri,06,172.31.124.1,8
Fri,06,172.31.74.120,40
Fri,07,10.161.32.87,4580
Fri,07,10.161.38.190,12
Fri,07,10.161.46.152,4
Fri,07,10.161.54.255,149
Fri,07,10.168.56.49,1200
Fri,07,172.28.83.113,9
Fri,07,172.28.85.145,4
Fri,07,172.31.124.1,28
Fri,08,10.161.32.87,4385
Fri,08,10.161.38.190,32
Fri,08,10.161.46.152,12
Fri,08,10.161.54.255,456
Fri,08,10.168.56.49,1204
Fri,08,172.30.5.36,3
Fri,08,172.31.124.1,20
Fri,08,172.31.74.120,4
Fri,09,10.1.16.100,8
Fri,09,10.161.32.87,4546
Fri,09,10.161.38.190,60
Fri,09,10.161.46.152,40
Fri,09,10.161.54.255,456
Fri,09,10.168.56.49,1172
Fri,09,172.30.5.36,2
Fri,09,172.31.124.1,32
Fri,09,172.31.74.120,24
Fri,10,-,20
Fri,10,10.161.32.87,3755
Fri,10,10.161.38.190,121
Fri,10,10.161.46.152,88
Fri,10,10.161.54.255,393
Fri,10,10.168.56.49,887
Fri,10,172.31.124.1,243
Fri,10,172.31.74.120,320
Fri,11,10.1.16.100,12
Fri,11,10.161.32.87,4660
Fri,11,10.161.38.190,52
Fri,11,10.161.46.152,39
Fri,11,10.161.54.255,429
Fri,11,10.168.56.49,1121
Fri,11,172.28.69.82,4
Fri,11,172.30.5.36,2
Fri,11,172.31.124.1,100
Fri,11,172.31.74.120,208
Fri,12,-,51
Fri,12,10.161.32.87,3914
Fri,12,10.161.38.190,214
Fri,12,10.161.46.152,297
Fri,12,10.161.54.255,168
Fri,12,10.168.56.49,926
Fri,12,172.30.5.129,2
Fri,12,172.30.5.171,2
Fri,12,172.31.124.1,347
Fri,12,172.31.124.31,1
Fri,12,172.31.74.120,544
Fri,12,172.31.80.8,80
Fri,12,172.31.82.35,4
Fri,13,10.1.16.100,4
Fri,13,10.161.32.87,4129
Fri,13,10.161.38.190,186
Fri,13,10.161.46.152,48
Fri,13,10.161.54.255,476
Fri,13,10.168.56.49,1143
Fri,13,172.30.5.129,1
Fri,13,172.30.5.134,2
Fri,13,172.31.124.1,128
Fri,13,172.31.69.1,32
Fri,13,172.31.74.120,188
Fri,14,10.161.32.87,4163
Fri,14,10.161.38.190,131
Fri,14,10.161.46.152,64
Fri,14,10.161.54.255,582
Fri,14,10.168.56.49,1030
Fri,14,172.30.5.129,2
Fri,14,172.30.5.214,3
Fri,14,172.30.5.40,1
Fri,14,172.31.124.1,200
Fri,14,172.31.74.120,148
Fri,15,10.1.16.100,8
Fri,15,10.161.32.87,4216
Fri,15,10.161.38.190,48
Fri,15,10.161.46.152,17
Fri,15,10.161.54.255,523
Fri,15,10.168.56.49,1096
Fri,15,172.31.124.1,174
Fri,15,172.31.74.120,260
Fri,16,10.161.32.87,4710
Fri,16,10.161.38.190,44
Fri,16,10.161.46.152,35
Fri,16,10.161.54.255,446
Fri,16,10.168.56.49,1200
Fri,16,172.31.124.1,51
Fri,16,172.31.74.120,48
Fri,17,10.161.32.87,4639
Fri,17,10.161.38.190,81
Fri,17,10.161.54.255,287
Fri,17,10.168.56.49,1240
Fri,17,172.30.5.67,3
Fri,17,172.31.124.1,72
Fri,17,172.31.124.31,3
Fri,17,172.31.74.120,24
Fri,18,10.161.32.87,4642
Fri,18,10.161.38.190,88
Fri,18,10.161.46.152,70
Fri,18,10.161.54.255,278
Fri,18,10.168.56.49,630
Fri,18,172.31.124.1,4
Fri,18,172.31.74.120,76
Fri,19,-,28
Fri,19,10.161.32.87,4062
Fri,19,10.161.38.190,230
Fri,19,10.161.46.152,150
Fri,19,10.161.54.255,170
Fri,19,10.168.56.49,278
Fri,19,172.29.80.7,32
